Nome, X, Y, Tipo
S_4, 15.870835868110387, 19.815907457731328, Nenhum
T_4, 16.186560979128945, 20.027153354877058, Nenhum
U_4, 10.769357391433248, 19.732001561733348, Nenhum
V_4, 15.694633486514629, 19.58097094893698, Nenhum
C_5, 16.63056737534467, 20.067433868570824, Nenhum
E_5, 16.967872563310156, 20.067433868570824, Nenhum
F_5, 17.353022681234776, 19.919575591557695, Nenhum
G_5, 18.431929378755125, 19.71103297000932, Nenhum
H_5, 18.829717906659045, 19.720977683206918, Nenhum
I_5, 19.104068419632178, 19.795835598756803, Nenhum
J_5, 19.387090475613903, 19.854104845576572, Nenhum
K_5, 19.762565131113945, 19.934039024541647, Nenhum
W_4, 17.570903876258857, 19.868309428022613, Nenhum
Z_4, 17.77596853039917, 19.82345153492942, Nenhum
